	_user_id	applied_count	hits@10_count	hits@15_count	hits@20_count	hits@25_count	hits@3_count	hits@5_count	recall@10	recall@15	recall@20	recall@25	recall@3	recall@5
14	45321	23	8	14	16	18	3	6	0.34782608695652173	0.6086956521739131	0.6956521739130435	0.782608695652174	0.13043478260869565	0.2608695652173913
357	838154	23	15	16	17	20	8	12	0.6521739130434783	0.6956521739130435	0.7391304347826086	0.8695652173913043	0.34782608695652173	0.5217391304347826
6	18206	23	10	12	15	16	4	7	0.43478260869565216	0.5217391304347826	0.6521739130434783	0.6956521739130435	0.17391304347826086	0.30434782608695654
234	629838	22	15	17	17	18	9	11	0.6818181818181818	0.7727272727272727	0.7727272727272727	0.8181818181818182	0.4090909090909091	0.5
450	963564	22	7	13	18	18	3	4	0.3181818181818182	0.5909090909090909	0.8181818181818182	0.8181818181818182	0.13636363636363635	0.18181818181818182
410	900210	22	5	5	7	9	3	4	0.22727272727272727	0.22727272727272727	0.3181818181818182	0.4090909090909091	0.13636363636363635	0.18181818181818182
622	1226555	22	15	19	19	20	11	12	0.6818181818181818	0.8636363636363636	0.8636363636363636	0.9090909090909091	0.5	0.5454545454545454
275	709667	22	16	17	20	20	10	12	0.7272727272727273	0.7727272727272727	0.9090909090909091	0.9090909090909091	0.45454545454545453	0.5454545454545454
10	32653	22	16	16	16	17	8	11	0.7272727272727273	0.7272727272727273	0.7272727272727273	0.7727272727272727	0.36363636363636365	0.5
272	707570	22	8	8	9	10	2	5	0.36363636363636365	0.36363636363636365	0.4090909090909091	0.45454545454545453	0.09090909090909091	0.22727272727272727
384	867121	22	10	13	14	14	2	4	0.45454545454545453	0.5909090909090909	0.6363636363636364	0.6363636363636364	0.09090909090909091	0.18181818181818182
763	1452644	21	21	21	21	21	17	20	1.0	1.0	1.0	1.0	0.8095238095238095	0.9523809523809523
286	731429	21	11	13	18	18	1	4	0.5238095238095238	0.6190476190476191	0.8571428571428571	0.8571428571428571	0.047619047619047616	0.19047619047619047
306	758752	21	17	19	19	19	10	12	0.8095238095238095	0.9047619047619048	0.9047619047619048	0.9047619047619048	0.47619047619047616	0.5714285714285714
452	963850	20	11	15	15	17	4	7	0.55	0.75	0.75	0.85	0.2	0.35
318	779555	20	13	17	18	19	10	10	0.65	0.85	0.9	0.95	0.5	0.5
686	1327338	20	9	11	12	14	3	3	0.45	0.55	0.6	0.7	0.15	0.15
336	808399	20	10	12	14	15	4	7	0.5	0.6	0.7	0.75	0.2	0.35
378	858472	20	9	13	15	16	1	6	0.45	0.65	0.75	0.8	0.05	0.3
748	1426220	19	14	15	15	15	6	10	0.7368421052631579	0.7894736842105263	0.7894736842105263	0.7894736842105263	0.3157894736842105	0.5263157894736842
696	1344524	19	12	13	14	14	9	10	0.631578947368421	0.6842105263157895	0.7368421052631579	0.7368421052631579	0.47368421052631576	0.5263157894736842
209	555268	19	15	16	17	17	8	10	0.7894736842105263	0.8421052631578947	0.8947368421052632	0.8947368421052632	0.42105263157894735	0.5263157894736842
78	210094	19	10	11	12	14	3	7	0.5263157894736842	0.5789473684210527	0.631578947368421	0.7368421052631579	0.15789473684210525	0.3684210526315789
533	1094549	19	6	7	7	7	1	2	0.3157894736842105	0.3684210526315789	0.3684210526315789	0.3684210526315789	0.05263157894736842	0.10526315789473684
516	1067513	19	8	10	12	12	2	5	0.42105263157894735	0.5263157894736842	0.631578947368421	0.631578947368421	0.10526315789473684	0.2631578947368421
90	232149	19	9	10	14	14	7	7	0.47368421052631576	0.5263157894736842	0.7368421052631579	0.7368421052631579	0.3684210526315789	0.3684210526315789
734	1400836	18	9	10	13	13	6	6	0.5	0.5555555555555556	0.7222222222222222	0.7222222222222222	0.3333333333333333	0.3333333333333333
636	1245364	18	8	8	8	11	5	6	0.4444444444444444	0.4444444444444444	0.4444444444444444	0.6111111111111112	0.2777777777777778	0.3333333333333333
101	246284	18	4	5	8	8	3	3	0.2222222222222222	0.2777777777777778	0.4444444444444444	0.4444444444444444	0.16666666666666666	0.16666666666666666
462	975383	18	5	5	6	6	4	5	0.2777777777777778	0.2777777777777778	0.3333333333333333	0.3333333333333333	0.2222222222222222	0.2777777777777778
401	891947	18	6	8	8	11	1	1	0.3333333333333333	0.4444444444444444	0.4444444444444444	0.6111111111111112	0.05555555555555555	0.05555555555555555
148	325908	18	9	15	17	17	3	6	0.5	0.8333333333333334	0.9444444444444444	0.9444444444444444	0.16666666666666666	0.3333333333333333
307	765880	17	13	16	17	17	11	12	0.7647058823529411	0.9411764705882353	1.0	1.0	0.6470588235294118	0.7058823529411765
93	235023	17	2	2	3	5	2	2	0.11764705882352941	0.11764705882352941	0.17647058823529413	0.29411764705882354	0.11764705882352941	0.11764705882352941
19	72028	17	9	11	14	14	2	6	0.5294117647058824	0.6470588235294118	0.8235294117647058	0.8235294117647058	0.11764705882352941	0.35294117647058826
604	1203631	17	5	7	9	10	3	5	0.29411764705882354	0.4117647058823529	0.5294117647058824	0.5882352941176471	0.17647058823529413	0.29411764705882354
